info: listening on 127.0.0.1:8080
info(Server): 127.0.0.1:60132 deinit in write
info(Server): 127.0.0.1:60162 deinit in write
info(Server): 127.0.0.1:60168 deinit in write
info(Server): 127.0.0.1:60178 deinit in write
info(Server): 127.0.0.1:60190 deinit in write
info(Server): 127.0.0.1:60202 deinit in write
info(Server): 127.0.0.1:60204 deinit in write
info(Server): 127.0.0.1:60212 deinit in write
info(Server): 127.0.0.1:60218 deinit in write
info(Server): 127.0.0.1:60226 deinit in write
info(Server): 127.0.0.1:60236 deinit in write
info(Server): 127.0.0.1:60242 deinit in write
info(Server): 127.0.0.1:60256 deinit in write
info(Server): 127.0.0.1:60144 deinit in write
info(Server): 127.0.0.1:60148 deinit in write
info(Server): 127.0.0.1:60130 deinit in write
info(Server): 127.0.0.1:60288 deinit in write
info(Server): 127.0.0.1:60264 deinit in write
info(Server): 127.0.0.1:60294 deinit in write
info(Server): 127.0.0.1:60310 deinit in write
info(Server): 127.0.0.1:60266 deinit in write
info(Server): 127.0.0.1:60340 deinit in write
info(Server): 127.0.0.1:60344 deinit in write
info(Server): 127.0.0.1:60352 deinit in write
info(Server): 127.0.0.1:60356 deinit in write
info(Server): 127.0.0.1:60360 deinit in write
info(Server): 127.0.0.1:60362 deinit in write
info(Server): 127.0.0.1:60370 deinit in write
info(Server): 127.0.0.1:60374 deinit in write
info(Server): 127.0.0.1:60388 deinit in write
info(Server): 127.0.0.1:60276 deinit in write
info(Server): 127.0.0.1:60318 deinit in write
info(Server): 127.0.0.1:60328 deinit in write
info(Server): 127.0.0.1:60396 deinit in write
info(Server): 127.0.0.1:60414 deinit in write
info(Server): 127.0.0.1:60422 deinit in write
info(Server): 127.0.0.1:60432 deinit in write
info(Server): 127.0.0.1:60446 deinit in write
info(Server): 127.0.0.1:60452 deinit in write
info(Server): 127.0.0.1:60466 deinit in write
info(Server): 127.0.0.1:60474 deinit in write
info(Server): 127.0.0.1:60478 deinit in write
info(Server): 127.0.0.1:60482 deinit in write
info(Server): 127.0.0.1:60494 deinit in write
info(Server): 127.0.0.1:60496 deinit in write
info(Server): 127.0.0.1:60390 deinit in write
info(Server): 127.0.0.1:60516 deinit in write
info(Server): 127.0.0.1:60524 deinit in write
info(Server): 127.0.0.1:60534 deinit in write
info(Server): 127.0.0.1:60542 deinit in write
info(Server): 127.0.0.1:60544 deinit in write
info(Server): 127.0.0.1:60548 deinit in write
info(Server): 127.0.0.1:60562 deinit in write
info(Server): 127.0.0.1:60566 deinit in write
info(Server): 127.0.0.1:60582 deinit in write
info(Server): 127.0.0.1:60592 deinit in write
info(Server): 127.0.0.1:60600 deinit in write
info(Server): 127.0.0.1:60606 deinit in write
info(Server): 127.0.0.1:60614 deinit in write
info(Server): 127.0.0.1:60628 deinit in write
info(Server): 127.0.0.1:60634 deinit in write
info(Server): 127.0.0.1:60402 deinit in write
info(Server): 127.0.0.1:60410 deinit in write
info(Server): 127.0.0.1:60502 deinit in write
info(Server): 127.0.0.1:60664 deinit in write
info(Server): 127.0.0.1:60646 deinit in write
info(Server): 127.0.0.1:60666 deinit in write
info(Server): 127.0.0.1:60682 deinit in write
info(Server): 127.0.0.1:60648 deinit in write
info(Server): 127.0.0.1:60712 deinit in write
info(Server): 127.0.0.1:60688 deinit in write
info(Server): 127.0.0.1:60704 deinit in write
info(Server): 127.0.0.1:60654 deinit in write
info(Server): 127.0.0.1:60722 deinit in write
info(Server): 127.0.0.1:60736 deinit in write
info(Server): 127.0.0.1:60750 deinit in write
info(Server): 127.0.0.1:60760 deinit in write
info(Server): 127.0.0.1:60788 deinit in write
info(Server): 127.0.0.1:60780 deinit in write
info(Server): 127.0.0.1:60782 deinit in write
info(Server): 127.0.0.1:60772 deinit in write
info(Server): 127.0.0.1:60802 deinit in write
info(Server): 127.0.0.1:60804 deinit in write
info(Server): 127.0.0.1:60806 deinit in write
info(Server): 127.0.0.1:60818 deinit in write
info(Server): 127.0.0.1:60852 deinit in write
info(Server): 127.0.0.1:60862 deinit in write
info(Server): 127.0.0.1:60866 deinit in write
info(Server): 127.0.0.1:60874 deinit in write
info(Server): 127.0.0.1:60876 deinit in write
info(Server): 127.0.0.1:60884 deinit in write
info(Server): 127.0.0.1:60890 deinit in write
info(Server): 127.0.0.1:60900 deinit in write
info(Server): 127.0.0.1:60912 deinit in write
info(Server): 127.0.0.1:60928 deinit in write
info(Server): 127.0.0.1:60940 deinit in write
